type,sfpname,partnumber,serialnumber,state,switch,interface
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD22339543     ,inserted,105,eth1/18
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223392XP     ,inserted,105,eth1/19
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233954J     ,inserted,105,eth1/20
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233956Z     ,inserted,105,eth1/21
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233956E     ,inserted,105,eth1/22
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233954T     ,inserted,105,eth1/23
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223392ZD     ,inserted,105,eth1/24
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233956X     ,inserted,105,eth1/25
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223392ZM     ,inserted,105,eth1/26
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD22339301     ,inserted,105,eth1/27
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233956B     ,inserted,105,eth1/28
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223392X7     ,inserted,105,eth1/32
,,,,removed,105,eth1/33
10Gbase-LR,CISCO-AVAGO     ,SFCT-739SMZ     ,AVD2233K1CW     ,inserted,105,eth1/34
,,,,removed,105,eth1/35
,,,,removed,105,eth1/36
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233953X     ,inserted,105,eth1/37
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233955C     ,inserted,105,eth1/38
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233956L     ,inserted,105,eth1/39
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233954H     ,inserted,105,eth1/40
,,,,removed,105,eth1/41
,,,,removed,105,eth1/42
,,,,removed,111,eth1/13
,,,,removed,111,eth1/53
,,,,removed,111,eth1/19
,,,,removed,111,eth1/1
,,,,removed,111,eth1/2
,,,,removed,111,eth1/38
,,,,removed,111,eth1/34
,,,,removed,111,eth1/11
,,,,removed,111,eth1/44
,,,,removed,111,eth1/35
,,,,removed,111,eth1/48
,,,,removed,111,eth1/36
,,,,removed,111,eth1/37
,,,,removed,111,eth1/12
,,,,removed,111,eth1/8
,,,,removed,111,eth1/42
,,,,removed,111,eth1/29
,,,,removed,111,eth1/10
,,,,removed,111,eth1/14
,,,,removed,111,eth1/7
,,,,removed,111,eth1/43
,,,,removed,111,eth1/21
,,,,removed,111,eth1/6
,,,,removed,111,eth1/16
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRLZ     ,inserted,111,eth1/3
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2034D6FC     ,inserted,111,eth1/4
QSFP-40G-SR-BD,CISCO-AVAGO     ,AFBR-79EBPZ-CS2 ,AVM2122U3A8     ,inserted,111,eth1/49
QSFP-40GE-LR4,CISCO-FINISAR   ,FTL4C1QE1C-C5   ,FNS212303UD     ,inserted,111,eth1/50
,,,,removed,111,eth1/54
,,,,removed,111,eth1/26
,,,,removed,111,eth1/25
,,,,removed,111,eth1/17
,,,,removed,111,eth1/40
,,,,removed,111,eth1/31
,,,,removed,111,eth1/32
,,,,removed,111,eth1/9
,,,,removed,111,eth1/20
,,,,removed,111,eth1/28
,,,,removed,111,eth1/5
,,,,removed,111,eth1/15
,,,,removed,111,eth1/30
,,,,removed,111,eth1/33
,,,,removed,111,eth1/47
,,,,removed,111,eth1/23
,,,,removed,111,eth1/18
,,,,removed,111,eth1/41
,,,,removed,111,eth1/51
,,,,removed,111,eth1/46
,,,,removed,111,eth1/24
,,,,removed,111,eth1/52
,,,,removed,111,eth1/45
,,,,removed,111,eth1/27
,,,,removed,111,eth1/22
,,,,removed,111,eth1/39
,,,,removed,112,eth1/54
,,,,removed,112,eth1/5
,,,,removed,112,eth1/51
,,,,removed,112,eth1/52
,,,,removed,112,eth1/7
,,,,removed,112,eth1/21
,,,,removed,112,eth1/35
,,,,removed,112,eth1/8
,,,,removed,112,eth1/22
,,,,removed,112,eth1/36
,,,,removed,112,eth1/9
,,,,removed,112,eth1/23
,,,,removed,112,eth1/37
,,,,removed,112,eth1/10
,,,,removed,112,eth1/24
,,,,removed,112,eth1/38
,,,,removed,112,eth1/11
,,,,removed,112,eth1/25
,,,,removed,112,eth1/39
,,,,removed,112,eth1/12
,,,,removed,112,eth1/26
,,,,removed,112,eth1/40
,,,,removed,112,eth1/13
,,,,removed,112,eth1/27
,,,,removed,112,eth1/41
,,,,removed,112,eth1/14
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2124DRLA     ,inserted,112,eth1/3
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS2 ,AVD2034D6DF     ,inserted,112,eth1/4
QSFP-40G-SR-BD,CISCO-AVAGO     ,AFBR-79EBPZ-CS2 ,AVM2122U39X     ,inserted,112,eth1/49
QSFP-40GE-LR4,CISCO-FINISAR   ,FTL4C1QE1C-C5   ,FNS212303N7     ,inserted,112,eth1/50
,,,,removed,112,eth1/53
,,,,removed,112,eth1/1
,,,,removed,112,eth1/2
,,,,removed,112,eth1/6
,,,,removed,112,eth1/28
,,,,removed,112,eth1/42
,,,,removed,112,eth1/15
,,,,removed,112,eth1/29
,,,,removed,112,eth1/43
,,,,removed,112,eth1/16
,,,,removed,112,eth1/30
,,,,removed,112,eth1/44
,,,,removed,112,eth1/17
,,,,removed,112,eth1/31
,,,,removed,112,eth1/45
,,,,removed,112,eth1/18
,,,,removed,112,eth1/32
,,,,removed,112,eth1/46
,,,,removed,112,eth1/19
,,,,removed,112,eth1/33
,,,,removed,112,eth1/47
,,,,removed,112,eth1/20
,,,,removed,112,eth1/34
,,,,removed,112,eth1/48
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223396HZ     ,inserted,107,eth1/1
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD2233930S     ,inserted,107,eth1/2
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD22339326     ,inserted,107,eth1/3
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223394W0     ,inserted,107,eth1/4
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223394UK     ,inserted,107,eth1/5
10Gbase-SR,CISCO-AVAGO     ,SFBR-709SMZ-CS1 ,AVD223394K0     ,inserted,107,eth1/6
