creation_date,creation_time,events_code,description,severity,cause,affected
2020-12-27,14:06:44.947,E4204949,"Login - NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:06:56.857,E4204949,"Logout- NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:07:00.657,E4215058,ActiveUserSession 7HNaIosWRBSSsPM6m4myLw== created,info,transition,uni/usersessext/actsession-7HNaIosWRBSSsPM6m4myLw==
2020-12-27,14:07:00.932,E4204949,"Login - NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:07:03.939,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-2/av/serial-4
2020-12-27,14:07:03.947,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-1/av/serial-4
2020-12-27,14:07:09.266,E4209455,SnNode 4 created,info,transition,topology/pod-1/node-1/av/serial-4
2020-12-27,14:07:09.276,E4209455,SnNode 4 created,info,transition,topology/pod-1/node-3/av/serial-4
2020-12-27,14:07:09.276,E4209455,SnNode 4 created,info,transition,topology/pod-1/node-2/av/serial-4
2020-12-27,14:07:11.860,E4204949,"Logout- NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:07:13.733,E4215058,ActiveUserSession sGi8ZtyzRQ2SiedPen18VQ== created,info,transition,uni/usersessext/actsession-sGi8ZtyzRQ2SiedPen18VQ==
2020-12-27,14:07:14.921,E4204949,"Login - NOT OK : SOAP Error code : """":ServerFaultCodeVMM Controller: non-retrievable(0:1) API error",warning,transition,comp/prov-VMware/ctrlr-[DC1-RND-ACI]-DXB-vcenter
2020-12-27,14:07:21.055,E4215060,ActiveUserSession 9lKUNOeAQEuAnzvwESBYnQ== deleted,info,transition,uni/usersessext/actsession-9lKUNOeAQEuAnzvwESBYnQ==
2020-12-27,14:07:21.055,E4215060,ActiveUserSession PNgYavu4St2cFXITShXOng== deleted,info,transition,uni/usersessext/actsession-PNgYavu4St2cFXITShXOng==
2020-12-27,14:07:21.056,E4215060,ActiveUserSession Bt5+Omb6RUOSbBJPxwC6ug== deleted,info,transition,uni/usersessext/actsession-Bt5+Omb6RUOSbBJPxwC6ug==
2020-12-27,14:07:21.056,E4215060,ActiveUserSession WDX803WISBehNY6DOaUs4Q== deleted,info,transition,uni/usersessext/actsession-WDX803WISBehNY6DOaUs4Q==
2020-12-27,14:07:30.000,E4215058,ActiveUserSession f8Vkt38sQfeuDTg1xkPBwg== created,info,transition,uni/usersessext/actsession-f8Vkt38sQfeuDTg1xkPBwg==
2020-12-27,14:08:13.508,E4209457,SnNode 4 deleted,info,transition,topology/pod-1/node-2/av/serial-4
