last_transition_time,last_transition_date,fault_code,description,severity,DN,creation_date,creation_time
08:34:02.602+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf103x-IntProf/hports-Port-17-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.602+00:00
08:34:02.604+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC3-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf104x-IntProf/hports-Port-03-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.604+00:00
08:34:02.606+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC33-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf104x-IntProf/hports-Port-33-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.606+00:00
08:34:02.608+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf103x-IntProf/hports-Port-20-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.608+00:00
08:34:02.610+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf102x-IntProf/hports-Port-22-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.610+00:00
08:34:02.612+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC30-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf102x-IntProf/hports-Port-30-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.612+00:00
08:34:02.614+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC1-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf104x-IntProf/hports-Port-01-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.614+00:00
08:34:02.624+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf105x-IntProf/hports-Port-13-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.624+00:00
08:34:02.626+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-OOBL2-vPC-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf104x-IntProf/hports-Port-48-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.626+00:00
08:34:02.628+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf103x-IntProf/hports-Port-26-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.628+00:00
08:34:02.630+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf103x-IntProf/hports-Port-14-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.630+00:00
08:34:02.632+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf104x-IntProf/hports-Port-32-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.632+00:00
08:34:02.634+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC29-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf105x-IntProf/hports-Port-29-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.634+00:00
05:36:31.353+00:00,2020-09-05,F3206,"Configuration failed for policy uni/infra/nodeauthpol-default, due to failedEPg or failedVlan is empty",minor,uni/infra/nodeauthpol-default/fault-F3206,2020-09-04,06:34:43.743+00:00
08:34:02.353+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf102x-IntProf/hports-Port-23-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.353+00:00
08:34:02.355+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf105x-IntProf/hports-Port-09-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.355+00:00
08:34:02.357+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf147x-IntProf/hports-Port-05-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.357+00:00
08:34:02.255+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC14-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf105x-IntProf/hports-Port-14-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.255+00:00
08:34:02.257+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf105x-IntProf/hports-Port-28-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.257+00:00
08:34:02.259+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accportgrp-Server-SRIOV-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf102x-IntProf/hports-Port-25-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.259+00:00
08:34:02.260+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC3-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf147x-IntProf/hports-Port-03-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.260+00:00
08:34:02.262+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC21-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf104x-IntProf/hports-Port-21-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.262+00:00
08:34:02.265+00:00,2020-09-05,F1011,Failed to form relation to MO uni/infra/funcprof/accbundle-Server-vPC36-IfPolGrp of class infraAccBaseGrp,warning,uni/infra/accportprof-Lf104x-IntProf/hports-Port-36-IfSele-typ-range/rsaccBaseGrp/fault-F1011,2020-09-05,08:34:02.265+00:00
